deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
snr_-5_DeepFilterNet3.wav,2.4909081,2.6110985,2.886099,2.9643068,3.1617444,NISQAv2
snr_0_DeepFilterNet3.wav,3.184651,2.996207,4.084453,3.7316866,3.8693864,NISQAv2
snr_5_DeepFilterNet3.wav,4.0152526,3.7126563,4.3300858,4.124518,4.21834,NISQAv2
snr_10_DeepFilterNet3.wav,4.4459743,4.2683206,4.5119596,4.273391,4.426126,NISQAv2
