deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
snr_-5.wav,0.68706834,1.3495014,2.8681333,1.3250866,1.4882853,NISQAv2
snr_0.wav,1.0275223,1.3248811,4.1299486,2.758282,2.3072891,NISQAv2
snr_5.wav,1.8978573,1.2495964,4.3652115,3.3259141,3.027142,NISQAv2
snr_10.wav,2.3220136,1.4812186,4.490019,3.8426468,3.3288708,NISQAv2
